id,neighbourhood_cleansed,lat,lon,property_type,room_type,price,accommodates,bathrooms,amenities,review_scores_rating,review_scores_location,instant_bookable,calculated_host_listings_count,lake_access,num_amenities,dist_ta,dist_pb,num_ta,num_stops
42515,Commune de Genève,46.2014,6.15507,Private room in apartment,Private room,72.0,1,1.5,"[""Cable TV"", ""Dishes and silverware"", ""Washer"", ""Keypad"", ""Iron"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Bathtub"", ""Hot water"", ""Dedicated workspace"", ""Elevator"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Kitchen""]",4.69,4.79,0,1,0,22,409.5529406458903,120.89364533989986,4,3
44959,Commune de Genève,46.19704,6.16076,Private room in apartment,Private room,68.0,1,1.5,"[""Extra pillows and blankets"", ""Cable TV"", ""Portable fans"", ""Dishes and silverware"", ""Clothing storage"", ""Washer"", ""Luggage dropoff allowed"", ""Dining table"", ""Shower gel"", ""Toaster"", ""Hot water kettle"", ""Iron"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Baking sheet"", ""Essentials"", ""Wine glasses"", ""Bathtub"", ""Hot water"", ""Single level home"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Dishwasher"", ""Room-darkening shades"", ""Elevator"", ""Cleaning products"", ""TV with standard cable"", ""Stove"", ""Beach essentials"", ""Heating"", ""Dryer"", ""Bed linens"", ""Host greets you"", ""Coffee maker"", ""Freezer"", ""Microwave"", ""Conditioner"", ""Hangers"", ""Nespresso machine"", ""First aid kit"", ""Security cameras on property"", ""Safe"", ""Refrigerator"", ""Long term stays allowed"", ""Sound system"", ""Oven"", ""Body soap"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen""]",4.87,4.72,0,1,0,51,375.5476679819656,465.0950614498847,1,0
194110,Commune de Genève,46.2042,6.16067,Entire apartment,Entire home/apt,135.0,4,1.0,"[""Extra pillows and blankets"", ""Cable TV"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Bathtub"", ""Hot water"", ""Lockbox"", ""Dedicated workspace"", ""Elevator"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Dryer"", ""Bed linens"", ""Coffee maker"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Kitchen""]",4.5,4.85,0,1,0,26,564.1523152130886,460.1098801467634,0,0
276025,Versoix,46.27944,6.16724,Entire apartment,Entire home/apt,65.0,5,1.0,"[""Extra pillows and blankets"", ""Portable fans"", ""Baby bath"", ""Dishes and silverware"", ""TV"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Dining table"", ""Toaster"", ""Hot water kettle"", ""Free washer \u2013 In building"", ""Iron"", ""Lake access"", ""Wifi"", ""Hair dryer"", ""Baking sheet"", ""Free dryer \u2013 In building"", ""Essentials"", ""Hot water"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Dishwasher"", ""Fire extinguisher"", ""Cleaning products"", ""Stove"", ""Fireplace guards"", ""Clothing storage: dresser and closet"", ""Heating"", ""Bed linens"", ""Free street parking"", ""Kitchen"", ""Coffee maker"", ""Freezer"", ""Indoor fireplace"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Baby safety gates"", ""Refrigerator"", ""Pack \u2019n Play/travel crib"", ""Children\u2019s books and toys"", ""Children\u2019s dinnerware"", ""Oven"", ""Body soap"", ""Cooking basics"", ""Paid parking off premises"", ""High chair"", ""Crib""]",4.62,4.75,1,1,1,48,6694.037169139388,162.97310943030536,0,1
325986,Commune de Genève,46.21428,6.1461,Entire apartment,Entire home/apt,150.0,2,1.5,"[""Dishes and silverware"", ""Washer"", ""TV"", ""Smoke alarm"", ""Dining table"", ""Bluetooth sound system"", ""Private entrance"", ""Toaster"", ""BBQ grill"", ""Iron"", ""Changing table"", ""Lake access"", ""Wifi"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""Essentials"", ""Wine glasses"", ""Hot water"", ""Central air conditioning"", ""Elevator"", ""Rice maker"", ""Dryer"", ""Long term stays allowed"", ""Cooking basics"", ""Kitchen""]",4.84,4.76,0,1,1,26,795.4195364224643,127.98462044843798,0,2
338682,Commune de Genève,46.20682,6.15526,Entire apartment,Entire home/apt,157.0,2,1.5,"[""Cable TV"", ""Dishes and silverware"", ""Washer"", ""Smoke alarm"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Dedicated workspace"", ""Dishwasher"", ""Fire extinguisher"", ""Elevator"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Dryer"", ""Host greets you"", ""Coffee maker"", ""Microwave"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen""]",4.8,4.85,1,1,0,26,93.4657039193675,626.8112132463584,3,0
381538,Commune de Genève,46.20233,6.17377,Private room in apartment,Private room,146.0,1,1.5,"[""Dishes and silverware"", ""Washer"", ""Iron"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Dishwasher"", ""Fire extinguisher"", ""Elevator"", ""Stove"", ""Patio or balcony"", ""Heating"", ""Dryer"", ""Host greets you"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Kitchen""]",5.0,4.8,0,2,0,22,1723.1327546076154,315.2446296568706,0,0
399388,Carouge,46.18791,6.13996,Private room in apartment,Private room,49.0,2,1.0,"[""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Hangers"", ""Elevator"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Long term stays allowed"", ""Essentials"", ""Smoke alarm"", ""Heating"", ""Host greets you"", ""Free street parking"", ""Iron"", ""Shampoo"", ""Kitchen""]",4.82,4.67,0,2,0,16,410.0496827584937,125.88644298566076,1,2
411058,Commune de Genève,46.21092,6.14588,Private room in loft,Private room,125.0,2,1.5,"[""Paid parking on premises"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Shampoo"", ""Lake access"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Dedicated workspace"", ""Dishwasher"", ""Fire extinguisher"", ""Elevator"", ""Stove"", ""Heating"", ""Bed linens"", ""Host greets you"", ""Free street parking"", ""Coffee maker"", ""Hangers"", ""First aid kit"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen""]",4.78,4.86,0,1,1,29,622.5440068667289,265.45285120529513,0,3
468995,Commune de Genève,46.20508,6.15822,Entire apartment,Entire home/apt,107.0,1,1.0,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Crib"", ""Iron"", ""Shampoo"", ""Lake access"", ""Hair dryer"", ""Waterfront"", ""Essentials"", ""Window guards"", ""Pocket wifi"", ""Hot water"", ""Elevator"", ""Stove"", ""Heating"", ""Bed linens"", ""Coffee maker"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Cleaning before checkout"", ""Children\u2019s books and toys"", ""Children\u2019s dinnerware"", ""Oven"", ""Cooking basics"", ""High chair"", ""Kitchen""]",4.74,4.78,0,1,1,28,362.8711587602973,493.7052687805869,3,0
